Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-84.67,0,2
-84.52,0,2
-84.37,0,2
-84.22,0,2
-84.07,0,2
-83.93,0,2
-83.78,0,2
-83.64,0,2
-83.49,0,2
-83.35,0,2
-83.21,0,2
-83.07,0,2
-82.93,0,2
-82.88,0,2
-82.88,0,2
-82.59,0,2
-82.4,0,2
-82.25,0,2
-82.11,0,2
-81.98,0,2
-81.84,0,2
-81.71,0,2
-81.58,0,2
-81.45,0,2
-81.32,0,2
-81.19,0,2
-81.07,0,2
-80.94,0,2
-80.82,0,2
-80.69,0,2
-80.57,0,2
-80.44,0,2
-80.32,0,2
-80.2,0,2
-80.08,0,2
-79.96,0,2
-79.84,0,2
-79.72,0,2
-79.61,0,2
-79.49,0,2
-79.48,0,2
-79.3,0,2
-79.16,0,2
-79.04,0,2
-78.92,0,2
-78.81,0,2
-78.7,0,2
-78.59,0,2
-78.48,0,2
-78.37,0,2
-78.37,0,2
-78.2,0,2
-78.07,0,2
-77.95,0,2
-77.84,0,2
-77.74,0,2
-77.63,0,2
-77.64,0,2
-77.48,0,2
-77.35,0,2
-77.23,0,2
-77.13,0,2
-77.03,0,2
-76.93,0,2
-76.83,0,2
-76.73,0,2
-76.64,0,2
-76.54,0,2
-76.45,0,2
-66.24,1,138.65
24.19,1,131.99
-16.33,1,92.15
-54.41,1,42.58
-33.71,1,27.88
8.24,1,27.23
-64.99,1,27.03
-65.11,1,27
-64.87,1,27.02
-64.5,1,27
-64,1,27
-63.39,1,27
-62.64,1,27
-61.74,1,27
-60.66,1,27
-59.55,1,27
-57.91,1,26.99
-55.75,1,27
-52.95,1,27
-48.28,1,27
-39.65,1,27
-17.82,1,27.01
-65,1,27
-66.27,1,27
-67.16,1,27
-67.71,1,26.99
-67.95,1,27
-67.97,1,27
-67.81,1,27
-67.53,1,27
-67.14,1,27
-66.67,1,27
-66.13,1,27
-65.52,1,27
-64.84,1,27
-64.07,1,27
-63.21,1,26
-62.43,1,27
-61.29,1,27
-59.94,1,27
-58.27,1,27
-56.11,1,27
-53.36,1,27
-48.84,1,27
-40.66,1,27
-20.71,1,27
-65,1,27
-66.18,1,27
-67,1,27
-67.48,1,27
-67.69,1,27
-67.68,1,27
-67.51,1,27
-67.21,1,27
-66.8,1,27
-66.32,1,27
-65.76,1,27
-65.12,1,27
-64.41,1,27
-63.6,1,27
-62.68,1,27
-61.63,1,27
-60.38,1,27
-58.85,1,27
-56.91,1,27
-54.27,1,27
-50.35,1,27
-43.61,1,27
